False Friend,Correct Translation,Wrong Translation,en sentence1,en sentence2,de sentence1,de sentence2
also,so,also,she speaks french and also understands german.,"i’m tired, and i’m also a bit hungry.",ich wollte also nicht mitkommen.,also jetzt verstehe ich wie du meinst.
arm,poor,arm,he broke his arm playing football.,she carried the groceries with one arm.,meine erkenntnisse in wirtschaft sind arm.,das kind war arm das mädchen auch.
bad,bath,bad,that’s a bad idea during a storm.,he felt bad for missing her birthday.,ich bin eine prinzessin und dusche nur in dem bad.,eine wohnung mit einem bad ist teure als eine mit einem duschen.
bald,soon,bald,his dog is going bald on its tail.,the actor wore a bald cap for the role.,ich komme bald wieder.,bald wird es alles vorbei.
bank,bench,bank,i need to deposit this check at the bank.,they sat by the river bank to rest.,der bank steht in der mitte des parks.,ich bin auf der bank mit dem kopf gestoßen.
beamer,data projector / computer projector,beamer,he drove up in a shiny black beamer.,she traded her old car for a new beamer.,die lampe des beamer ich gebrochen.,ich will ein film mit dem beamer sehen.
billion,trillion,billion,the company is worth over a billion dollars.,there are more than a billion stars in the galaxy.,ich werde niemals billion euro in mein bank haben.,es gibt viel mehr sterne im himmel als billion.
boot,boat,boot,he kicked the ball with his muddy boot.,she kept a blanket in the car boot just in case.,mein boot ist gesunken.,er wohnt auf sein boot.
brand,fire,brand,this brand of shoes is really comfortable.,they launched a new brand aimed at young adults.,du hast der brand hinterlassen.,es riecht nach brand.
brief,a letter,brief,let’s keep this meeting brief.,he gave a brief explanation before leaving.,er schickt ein brief an seine verlobte.,in deutschland kommuniziert man noch mit briefe.
chance,opportunity,chance,there’s a good chance it will rain today.,she took a chance and applied for the job.,es gibt keine zweite chance für erste eindruck.,euch gab es eine chance.
chef,boss,chef,the chef prepared a delicious meal.,he trained as a chef in paris.,der chef ist grausam.,ich bin der chef.
dank,gratefulness / thanks,dank,the basement was cold and dank.,they explored a dank cave filled with moss.,gott sein dank.,dank mich nicht.
die,a,die,flowers die quickly without sunlight.,he hoped his phone wouldn’t die during the trip.,die frau kocht.,ich wollte immer die katze überfahren
evergreen,oldie,evergreen,the garden is full of evergreen shrubs.,that song is an evergreen hit from the 80s.,das musikstück ist evergreen.,das wort ist evergreen.
fast,almost,fast,she’s a fast runner.,they had to fast before the surgery.,fast daneben ist auch vorbei.,fast hast du dich verletzt.
fund,discovery,fund,the school started a fund for new equipment.,they helped fund the research project.,ein unglaublichen fund wurde entdeckt.,fund ist der traum jeder entwickler.
gaffer,gaper,gaffer,the gaffer adjusted the lighting on set.,the old gaffer told stories of the war.,der mund ist gaffer geblieben.,sie hat die schöne frau gegaffter.
genie,genius,genie,the genie granted him three wishes.,she dressed up as a genie for halloween.,das kind war seit immer ein kleines genie.,das baby ist ein genie trotzt sein kleines alter
gift,poison,gift,he gave her a thoughtful birthday gift.,she has a gift for painting.,ich trinke mein gift nur mit zucker.,das gift ist abgelaufen.
gut,good,gut,trust your gut feeling.,he had a gut reaction to the news.,es ist nicht gut es ist einfach besser.,gut oder schlecht es ist mir egal.
hall,a short echo,hall,the hall was decorated for the wedding.,i left my keys in the front hall.,ein hall wird zurückgeschallt.,man kann der hall nicht hören.
handy,smartphone,handy,a pocketknife is handy on camping trips.,he’s very handy around the house.,mein handy ist kaputt.,ihr handy ist schwarz.
happen,snack,happen,accidents can happen when you’re not careful.,what will happen if we don’t act now?,das happen ist lecker.,ich kann nicht aufhören zu happen.
heft,exercise book / magazine,heft,he tested the heft of the hammer before using it.,the box had surprising heft for its size.,das ist ein dickes heft.,das ganze heft habe ich gelesen.
hell,light,hell,the traffic was hell this morning.,he said he’d fight like hell to win.,der bildschirm ist zu hell.,der sonnenuntergang ist hell.
herd,cooker / stove,herd,a herd of deer ran through the field.,they tried to herd the sheep back into the pen.,ihr herd ist schmutzig.,sein herd ist kaputt gegangen.
hose,trousers / pants,hose,he watered the garden with a long hose.,firefighters connected the hose to the hydrant.,ich liebe es ohne hose rumzulaufen.,seine hose sind gerissen.
hut,a hat,hut,they built a small hut near the lake.,the explorer found shelter in a jungle hut.,ich trage kein hut.,hut ist wichtig gegen einen sonnenstich.
jammer,whine,jammer,the signal jammer blocked all communication.,the referee called a penalty on the jammer in the roller derby.,er jammer die ganze zeit.,es ist nicht gesund die ganze zeit zu jammer
kind,a child,kind,that was a very kind gesture.,what kind of cake did you make?,das kind ist schon ein erwachsener.,er war ein kind als er gestorben ist
