False Friend,Wrong Translation,Correct Translation,en sentence1,en sentence2,es sentence1,es sentence2
actual,actual,current,the actual cost of the repairs was much higher than we expected.,"i thought it was a joke, but it turned out to be an actual emergency.","dana se casó, entonces su apellido actual es levy.","ari se tiñó el pelo, su color actual es rojo."
alto,alto,"high; in Spanish it can also mean ""stop!"" (imperative)",she sang in the alto section of the choir.,the alto saxophone solo added a rich tone to the jazz piece.,ron es un chico muy alto.,el libro que quiero leer está en el estante más alto.
as,as,ace,he worked as a teacher for over twenty years.,"as the sun set, the sky turned a brilliant orange.",hace mucho calor.,estuve en italia hace muchos años.
canto,canto,"I sing; in Spanish, can also mean pebble, edge, or piece",the third canto of the poem describes the hero’s journey through the forest.,"in dante’s divine comedy, each canto reveals a new layer of the afterlife.",mi profesor de canto es excelente.,me gusta escuchar el canto de mis pajaros por las mañanas.
conductor,conductor,"driver (or conductor in the sense ""conductor of electricity, heat etc."")",the conductor raised his baton and the orchestra fell silent.,copper is a good conductor of electricity.,el conductor del micro no se detuvo en la parada.,el conductor rubio del programa infantil es mi preferido.
eleven,eleven,elevate! (imperative tense),there are eleven players on each soccer team.,she waited until eleven o'clock before calling him.,eleven el volumen de la música que no escucho.,compremos la cama antes que eleven su precio.
gripe,gripe,influenza,his main gripe was that the room was too cold.,stop griping and help me fix the problem.,"me siento mal, creo que tengo gripe.",me contagié una fuerte gripe de mi hermana.
once,once,eleven,"once i finish this book, i’ll start another.",he was once a famous actor in the 80s.,son las once de la mañana.,a las once de la noche empieza la fiesta.
pan,pan,bread,heat the oil in a large pan over medium heat.,the critics decided to pan the movie for its poor acting.,me gusta desayunar pan tostado con queso blanco.,este pan está riquísimo.
papa,papa,potato (in American Spanish),"little emma ran into the room shouting, ""papa!""",my papa used to tell me bedtime stories every night.,la tortilla de papas que mi mamá cocinó está muy rica.,esta papa está podrida.
pie,pie,foot,she baked an apple pie for dessert.,he won a prize for his homemade cherry pie.,me caí y me lastimé el pie.,me duele el pie derecho.
propaganda,propaganda,advertising,the regime spread propaganda to control public opinion.,"during the war, posters were used as tools of propaganda.",la nueva propaganda de la compañía de teléfono más grande del país me pareció espectacular.,no paran de transmitir la misma propaganda en la televisión.
quince,quince,fifteen,the quince tree in the backyard is full of fruit.,she made a delicious jelly using ripe quince.,mi hermana cumple quince años.,tengo quince minutos para preparar algo de comer.
sale,sale,"leaves (i.e. ""He leaves the house"")",everything in the store is on sale this weekend.,the house went up for sale last month.,el tren sale a las dos de la tarde.,mi hermano sale del trabajo a las cinco.
sensible,sensible,sensitive,it’s sensible to carry an umbrella if rain is expected.,she gave a very sensible answer to a tricky question.,soy una chica muy sensible.,tengo una amiga que es sensible al gluten.
sin,sin,without,"in many religions, stealing is considered a sin.",he regretted the sin of pride that led to his downfall.,quiero comer un helado sin azúcar.,no veo bien sin mis anteojos.
son,son,(they) are; song,their son just graduated from university.,she hugged her son tightly before he left for camp.,mis mejores amigas son como mis hermanas.,mis padres son los mejores.
ten,ten,take! (imperative tense),the test has ten multiple-choice questions.,we’ll meet at ten sharp in the morning.,ten esta escoba por favor.,ten cuidado al subir las escaleras.
