Basic Stats for Algo: BPE, L2: de, Vocab Size: 3000
==================================================

### Comparative Metrics
Tokenizer     | Avg Len (Vocab) | Rényi Efficiency
--------------+-----------------+-----------------
L1 (en)       | 4.7967          | 0.5515          
L2 (de)       | 4.7520          | 0.6236          
Multi (en_de) | 4.4347          | 0.6267          
Cued (en_de)  | 4.2513          | 0.6315          
Avg Word Len (Homographs): 6.1227

### Token Length Distributions (Top 5 by Frequency)
L1 (en): [(4, 0.21766666666666667), (5, 0.178), (3, 0.177), (6, 0.119), (2, 0.09033333333333333)]
L2 (de): [(4, 0.22366666666666668), (3, 0.18233333333333332), (5, 0.176), (6, 0.11466666666666667), (2, 0.097)]
Multi (en_de): [(4, 0.255), (3, 0.21166666666666667), (5, 0.17766666666666667), (6, 0.10633333333333334), (2, 0.098)]
Cued (en_de): [(4, 0.248), (3, 0.22133333333333333), (5, 0.16633333333333333), (2, 0.116), (6, 0.09733333333333333)]

### Full Token Length Distributions (Sorted by Length)
Length | L1 (en) | L2 (de) | Multi (en_de) | Cued (en_de)
-------+---------+---------+---------------+-------------
1      | 0.0217  | 0.0210  | 0.0217        | 0.0377      
2      | 0.0903  | 0.0970  | 0.0980        | 0.1160      
3      | 0.1770  | 0.1823  | 0.2117        | 0.2213      
4      | 0.2177  | 0.2237  | 0.2550        | 0.2480      
5      | 0.1780  | 0.1760  | 0.1777        | 0.1663      
6      | 0.1190  | 0.1147  | 0.1063        | 0.0973      
7      | 0.0850  | 0.0840  | 0.0643        | 0.0543      
8      | 0.0557  | 0.0473  | 0.0340        | 0.0300      
9      | 0.0287  | 0.0207  | 0.0153        | 0.0147      
10     | 0.0143  | 0.0140  | 0.0083        | 0.0070      
11     | 0.0077  | 0.0077  | 0.0033        | 0.0033      
12     | 0.0030  | 0.0063  | 0.0020        | 0.0020      
13     | 0.0013  | 0.0027  | 0.0013        | 0.0010      
14     | 0.0007  | 0.0010  | 0.0010        | 0.0010      
15     | 0.0000  | 0.0010  | 0.0000        | 0.0000      
16     | 0.0000  | 0.0007  | 0.0000        | 0.0000      

==================================================
### Tokenization Splits (False Friends)
==================================================
| Word            | L1 Tok                                   | L2 Tok                                   | Multi Tok                                | Cued (L2 cues)                           | Cued (En cues)                           |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| also            | ['▁also']                                | ['▁also']                                | ['▁also']                                | ['▁ǥls', 'o']                            | ['▁ƀlso']                                |
| arm             | ['▁arm']                                 | ['▁ar', 'm']                             | ['▁arm']                                 | ['▁ǥr', 'm']                             | ['▁ƀr', 'm']                             |
| bad             | ['▁bad']                                 | ['▁b', 'ad']                             | ['▁bad']                                 | ['▁ȝ', 'ad']                             | ['▁ƃ', 'ad']                             |
| bald            | ['▁bal', 'd']                            | ['▁bald']                                | ['▁b', 'ald']                            | ['▁ȝ', 'ald']                            | ['▁ƃ', 'ald']                            |
| bank            | ['▁bank']                                | ['▁b', 'ank']                            | ['▁bank']                                | ['▁ȝ', 'ank']                            | ['▁ƃ', 'ank']                            |
| beamer          | ['▁be', 'am', 'er']                      | ['▁be', 'am', 'er']                      | ['▁be', 'amer']                          | ['▁ȝ', 'e', 'amer']                      | ['▁ƃ', 'e', 'amer']                      |
| billion         | ['▁bill', 'ion']                         | ['▁b', 'ill', 'ion']                     | ['▁bill', 'ion']                         | ['▁ȝ', 'illion']                         | ['▁ƃ', 'illion']                         |
| boot            | ['▁bo', 'ot']                            | ['▁bo', 'ot']                            | ['▁bo', 'ot']                            | ['▁ȝ', 'oot']                            | ['▁ƃ', 'oot']                            |
| brand           | ['▁br', 'and']                           | ['▁br', 'and']                           | ['▁bra', 'nd']                           | ['▁ȝ', 'rand']                           | ['▁ƃ', 'rand']                           |
| brief           | ['▁b', 'rie', 'f']                       | ['▁b', 'rie', 'f']                       | ['▁b', 'rie', 'f']                       | ['▁ȝ', 'rie', 'f']                       | ['▁ƃ', 'rie', 'f']                       |
| chance          | ['▁ch', 'ance']                          | ['▁ch', 'an', 'ce']                      | ['▁ch', 'ance']                          | ['▁ȡh', 'ance']                          | ['▁ƅh', 'ance']                          |
| chef            | ['▁che', 'f']                            | ['▁', 'che', 'f']                        | ['▁che', 'f']                            | ['▁ȡ', 'he', 'f']                        | ['▁ƅ', 'he', 'f']                        |
| dank            | ['▁d', 'ank']                            | ['▁d', 'ank']                            | ['▁d', 'ank']                            | ['▁ȣ', 'ank']                            | ['▁ƈ', 'ank']                            |
| die             | ['▁die']                                 | ['▁die']                                 | ['▁die']                                 | ['▁ȣie']                                 | ['▁ƈ', 'ie']                             |
| evergreen       | ['▁ever', 'gre', 'en']                   | ['▁e', 'ver', 'g', 're', 'en']           | ['▁ever', 'g', 're', 'en']               | ['▁ȥ', 'ver', 'g', 'reen']               | ['▁ƌ', 'ver', 'g', 'reen']               |
| fast            | ['▁fast']                                | ['▁fast']                                | ['▁fast']                                | ['▁ȴast']                                | ['▁ƍ', 'ast']                            |
| fund            | ['▁f', 'und']                            | ['▁f', 'und']                            | ['▁f', 'und']                            | ['▁ȴ', 'und']                            | ['▁ƍ', 'und']                            |
| gaffer          | ['▁g', 'af', 'fer']                      | ['▁g', 'a', 'ff', 'er']                  | ['▁g', 'a', 'ff', 'er']                  | ['▁ȵ', 'af', 'fer']                      | ['▁ƒ', 'af', 'fer']                      |
| genie           | ['▁gen', 'ie']                           | ['▁gen', 'ie']                           | ['▁gen', 'ie']                           | ['▁ȵ', 'en', 'ie']                       | ['▁ƒen', 'ie']                           |
| gift            | ['▁g', 'if', 't']                        | ['▁gi', 'ft']                            | ['▁g', 'ift']                            | ['▁ȵ', 'ift']                            | ['▁ƒ', 'ift']                            |
| gut             | ['▁g', 'ut']                             | ['▁gut']                                 | ['▁gut']                                 | ['▁ȵut']                                 | ['▁ƒ', 'ut']                             |
| hall            | ['▁hall']                                | ['▁h', 'all']                            | ['▁hall']                                | ['▁ȶ', 'all']                            | ['▁ƕ', 'all']                            |
| handy           | ['▁hand', 'y']                           | ['▁hand', 'y']                           | ['▁hand', 'y']                           | ['▁ȶ', 'and', 'y']                       | ['▁ƕ', 'and', 'y']                       |
| happen          | ['▁happen']                              | ['▁ha', 'ppen']                          | ['▁happen']                              | ['▁ȶ', 'a', 'ppen']                      | ['▁ƕ', 'a', 'ppen']                      |
| heft            | ['▁he', 'ft']                            | ['▁he', 'ft']                            | ['▁he', 'ft']                            | ['▁ȶ', 'e', 'ft']                        | ['▁ƕ', 'e', 'ft']                        |
| hell            | ['▁hel', 'l']                            | ['▁h', 'ell']                            | ['▁he', 'll']                            | ['▁ȶ', 'ell']                            | ['▁ƕ', 'ell']                            |
| herd            | ['▁her', 'd']                            | ['▁her', 'd']                            | ['▁her', 'd']                            | ['▁ȶ', 'er', 'd']                        | ['▁ƕer', 'd']                            |
| hose            | ['▁h', 'ose']                            | ['▁ho', 'se']                            | ['▁h', 'ose']                            | ['▁ȶ', 'ose']                            | ['▁ƕ', 'ose']                            |
| hut             | ['▁h', 'ut']                             | ['▁h', 'ut']                             | ['▁h', 'ut']                             | ['▁ȶ', 'ut']                             | ['▁ƕ', 'ut']                             |
| jammer          | ['▁j', 'am', 'mer']                      | ['▁j', 'am', 'mer']                      | ['▁j', 'am', 'mer']                      | ['▁ȸ', 'am', 'mer']                      | ['▁ƚ', 'am', 'mer']                      |
| kind            | ['▁kind']                                | ['▁kind']                                | ['▁kind']                                | ['▁ȹ', 'ind']                            | ['▁ƛ', 'ind']                            |
| last            | ['▁last']                                | ['▁l', 'ast']                            | ['▁last']                                | ['▁ȼ', 'ast']                            | ['▁ƞast']                                |
| lied            | ['▁l', 'ied']                            | ['▁lie', 'd']                            | ['▁lie', 'd']                            | ['▁ȼ', 'ied']                            | ['▁ƞ', 'ied']                            |
| links           | ['▁lin', 'ks']                           | ['▁lin', 'ks']                           | ['▁lin', 'ks']                           | ['▁ȼ', 'in', 'ks']                       | ['▁ƞ', 'in', 'ks']                       |
| lunge           | ['▁l', 'un', 'ge']                       | ['▁l', 'un', 'ge']                       | ['▁l', 'ung', 'e']                       | ['▁ȼ', 'ung', 'e']                       | ['▁ƞ', 'ung', 'e']                       |
| mist            | ['▁m', 'ist']                            | ['▁m', 'ist']                            | ['▁m', 'ist']                            | ['▁ȿ', 'ist']                            | ['▁ƣ', 'ist']                            |
| mitten          | ['▁m', 'it', 'ten']                      | ['▁mit', 'ten']                          | ['▁mit', 'ten']                          | ['▁ȿit', 'ten']                          | ['▁ƣ', 'it', 'ten']                      |
| mode            | ['▁mod', 'e']                            | ['▁mo', 'de']                            | ['▁mo', 'de']                            | ['▁ȿ', 'ode']                            | ['▁ƣ', 'ode']                            |
| most            | ['▁most']                                | ['▁mo', 'st']                            | ['▁most']                                | ['▁ȿ', 'ost']                            | ['▁ƣost']                                |
| not             | ['▁not']                                 | ['▁not']                                 | ['▁not']                                 | ['▁ɀ', 'ot']                             | ['▁ƥot']                                 |
| note            | ['▁note']                                | ['▁n', 'ote']                            | ['▁no', 'te']                            | ['▁ɀ', 'ote']                            | ['▁ƥ', 'ote']                            |
| payback         | ['▁pay', 'b', 'ack']                     | ['▁pa', 'y', 'ba', 'ck']                 | ['▁p', 'ay', 'b', 'ack']                 | ['▁ɇ', 'ay', 'b', 'ack']                 | ['▁ƪ', 'ay', 'b', 'ack']                 |
