Basic Stats for Algo: BPE, L2: fr, Vocab Size: 3000
==================================================

### Comparative Metrics
Tokenizer     | Avg Len (Vocab) | Rényi Efficiency
--------------+-----------------+-----------------
L1 (en)       | 4.7967          | 0.5515          
L2 (fr)       | 4.8427          | 0.5799          
Multi (en_fr) | 4.5663          | 0.6150          
Cued (en_fr)  | 4.3550          | 0.6211          
Avg Word Len (Homographs): 7.0285

### Token Length Distributions (Top 5 by Frequency)
L1 (en): [(4, 0.21766666666666667), (5, 0.178), (3, 0.177), (6, 0.119), (2, 0.09033333333333333)]
L2 (fr): [(4, 0.22266666666666668), (3, 0.18466666666666667), (5, 0.16), (6, 0.10833333333333334), (2, 0.08966666666666667)]
Multi (en_fr): [(4, 0.24633333333333332), (3, 0.19166666666666668), (5, 0.17733333333333334), (6, 0.108), (2, 0.096)]
Cued (en_fr): [(4, 0.24866666666666667), (3, 0.20166666666666666), (5, 0.16633333333333333), (2, 0.111), (6, 0.102)]

### Full Token Length Distributions (Sorted by Length)
Length | L1 (en) | L2 (fr) | Multi (en_fr) | Cued (en_fr)
-------+---------+---------+---------------+-------------
1      | 0.0217  | 0.0217  | 0.0237        | 0.0387      
2      | 0.0903  | 0.0897  | 0.0960        | 0.1110      
3      | 0.1770  | 0.1847  | 0.1917        | 0.2017      
4      | 0.2177  | 0.2227  | 0.2463        | 0.2487      
5      | 0.1780  | 0.1600  | 0.1773        | 0.1663      
6      | 0.1190  | 0.1083  | 0.1080        | 0.1020      
7      | 0.0850  | 0.0897  | 0.0720        | 0.0623      
8      | 0.0557  | 0.0540  | 0.0467        | 0.0380      
9      | 0.0287  | 0.0327  | 0.0180        | 0.0143      
10     | 0.0143  | 0.0203  | 0.0130        | 0.0107      
11     | 0.0077  | 0.0103  | 0.0043        | 0.0037      
12     | 0.0030  | 0.0033  | 0.0010        | 0.0007      
13     | 0.0013  | 0.0013  | 0.0013        | 0.0013      
14     | 0.0007  | 0.0010  | 0.0007        | 0.0007      
15     | 0.0000  | 0.0003  | 0.0000        | 0.0000      

==================================================
### Tokenization Splits (False Friends)
==================================================
| Word            | L1 Tok                                   | L2 Tok                                   | Multi Tok                                | Cued (L2 cues)                           | Cued (En cues)                           |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| a               | ['▁a']                                   | ['▁a']                                   | ['▁a']                                   | ['▁ǥ']                                   | ['▁ƀ']                                   |
| ado             | ['▁ad', 'o']                             | ['▁ad', 'o']                             | ['▁ad', 'o']                             | ['▁ǥ', 'd', 'o']                         | ['▁ƀ', 'd', 'o']                         |
| affluent        | ['▁aff', 'lu', 'ent']                    | ['▁aff', 'lu', 'ent']                    | ['▁aff', 'lu', 'ent']                    | ['▁ǥ', 'ff', 'l', 'u', 'ent']            | ['▁ƀ', 'ff', 'l', 'u', 'ent']            |
| agent           | ['▁ag', 'ent']                           | ['▁ag', 'ent']                           | ['▁ag', 'ent']                           | ['▁ǥ', 'gent']                           | ['▁ƀ', 'gent']                           |
| ail             | ['▁a', 'il']                             | ['▁a', 'il']                             | ['▁a', 'il']                             | ['▁ǥ', 'il']                             | ['▁ƀ', 'il']                             |
| allure          | ['▁all', 'ure']                          | ['▁all', 'ure']                          | ['▁all', 'ure']                          | ['▁ǥ', 'll', 'ure']                      | ['▁ƀ', 'll', 'ure']                      |
| alto            | ['▁al', 'to']                            | ['▁al', 't', 'o']                        | ['▁al', 't', 'o']                        | ['▁ǥ', 'l', 't', 'o']                    | ['▁ƀ', 'l', 't', 'o']                    |
| appoint         | ['▁appo', 'int']                         | ['▁app', 'o', 'int']                     | ['▁app', 'o', 'int']                     | ['▁ǥ', 'pp', 'oint']                     | ['▁ƀ', 'pp', 'oint']                     |
| arc             | ['▁ar', 'c']                             | ['▁ar', 'c']                             | ['▁ar', 'c']                             | ['▁ǥr', 'c']                             | ['▁ƀr', 'c']                             |
| as              | ['▁as']                                  | ['▁as']                                  | ['▁as']                                  | ['▁ǥ', 's']                              | ['▁ƀ', 's']                              |
| billion         | ['▁bill', 'ion']                         | ['▁b', 'illi', 'on']                     | ['▁bill', 'ion']                         | ['▁ȝ', 'illion']                         | ['▁ƃ', 'illion']                         |
| bond            | ['▁b', 'ond']                            | ['▁b', 'ond']                            | ['▁b', 'ond']                            | ['▁ȝ', 'ond']                            | ['▁ƃ', 'ond']                            |
