Basic Stats for Algo: BPE_SAGE, L2: fr, Vocab Size: 3000
==================================================

### Comparative Metrics
Tokenizer     | Avg Len (Vocab) | Rényi Efficiency
--------------+-----------------+-----------------
L1 (en)       | 5.6870          | 0.5732          
L2 (fr)       | 5.7193          | 0.5572          
Multi (en_fr) | 5.3810          | 0.6199          
Cued (en_fr)  | 5.9663          | 0.5459          
Avg Word Len (Homographs): 7.0285

### Token Length Distributions (Top 5 by Frequency)
L1 (en): [(6, 0.13333333333333333), (5, 0.12833333333333333), (7, 0.12333333333333334), (8, 0.10966666666666666), (4, 0.10333333333333333)]
L2 (fr): [(3, 0.12433333333333334), (7, 0.124), (4, 0.11066666666666666), (6, 0.11033333333333334), (8, 0.1)]
Multi (en_fr): [(3, 0.14466666666666667), (4, 0.123), (6, 0.11266666666666666), (7, 0.11066666666666666), (5, 0.105)]
Cued (en_fr): [(7, 0.13466666666666666), (6, 0.126), (8, 0.117), (5, 0.10566666666666667), (4, 0.10166666666666667)]

### Full Token Length Distributions (Sorted by Length)
Length | L1 (en) | L2 (fr) | Multi (en_fr) | Cued (en_fr)
-------+---------+---------+---------------+-------------
1      | 0.0857  | 0.0870  | 0.0867        | 0.0860      
2      | 0.0603  | 0.0640  | 0.0777        | 0.0443      
3      | 0.0970  | 0.1243  | 0.1447        | 0.0930      
4      | 0.1033  | 0.1107  | 0.1230        | 0.1017      
5      | 0.1283  | 0.0973  | 0.1050        | 0.1057      
6      | 0.1333  | 0.1103  | 0.1127        | 0.1260      
7      | 0.1233  | 0.1240  | 0.1107        | 0.1347      
8      | 0.1097  | 0.1000  | 0.0937        | 0.1170      
9      | 0.0763  | 0.0690  | 0.0590        | 0.0837      
10     | 0.0370  | 0.0517  | 0.0400        | 0.0510      
11     | 0.0257  | 0.0330  | 0.0267        | 0.0293      
12     | 0.0103  | 0.0133  | 0.0100        | 0.0127      
13     | 0.0060  | 0.0070  | 0.0050        | 0.0087      
14     | 0.0023  | 0.0053  | 0.0023        | 0.0037      
15     | 0.0013  | 0.0023  | 0.0020        | 0.0013      
16     | 0.0000  | 0.0007  | 0.0010        | 0.0013      

==================================================
### Tokenization Splits (False Friends)
==================================================
| Word            | L1 Tok                                   | L2 Tok                                   | Multi Tok                                | Cued (L2 cues)                           | Cued (En cues)                           |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| a               | ['▁a']                                   | ['▁a']                                   | ['▁a']                                   | ['<E2>', '<96>', '<81>', '<C7>', '<A5>'] | ['<E2>', '<96>', '<81>', '<C6>', '<80>'] |
| ado             | ['▁ad', 'o']                             | ['▁ad', 'o']                             | ['▁ad', 'o']                             | ['<E2>', '<96>', '<81>', '<C7>', '<A5>', 'd', 'o'] | ['<E2>', '<96>', '<81>', '<C6>', '<80>', 'd', 'o'] |
| affluent        | ['▁a', 'ff', 'l', 'u', 'en', 't']        | ['▁a', 'f', 'f', 'l', 'ue', 'nt']        | ['▁aff', 'lu', 'ent']                    | ['<E2>', '<96>', '<81>', '<C7>', '<A5>', 'f', 'f', 'l', 'ue', 'nt'] | ['<E2>', '<96>', '<81>', '<C6>', '<80>', 'f', 'f', 'l', 'ue', 'nt'] |
| agent           | ['▁age', 'n', 't']                       | ['▁agent']                               | ['▁a', 'gen', 't']                       | ['<E2>', '<96>', '<81>', '<C7>', '<A5>', 'ge', 'nt'] | ['<E2>', '<96>', '<81>', '<C6>', '<80>', 'ge', 'nt'] |
| ail             | ['▁a', 'il']                             | ['▁a', 'i', 'l']                         | ['▁a', 'il']                             | ['<E2>', '<96>', '<81>', '<C7>', '<A5>', 'i', 'l'] | ['<E2>', '<96>', '<81>', '<C6>', '<80>', 'i', 'l'] |
| allure          | ['▁all', 'ure']                          | ['▁all', 'ure']                          | ['▁all', 'ure']                          | ['<E2>', '<96>', '<81>', '<C7>', '<A5>', 'l', 'l', 'ure'] | ['<E2>', '<96>', '<81>', '<C6>', '<80>', 'l', 'l', 'ure'] |
| alto            | ['▁alt', 'o']                            | ['▁a', 'l', 't', 'o']                    | ['▁al', 't', 'o']                        | ['<E2>', '<96>', '<81>', '<C7>', '<A5>', 'l', 't', 'o'] | ['<E2>', '<96>', '<81>', '<C6>', '<80>', 'l', 't', 'o'] |
| appoint         | ['▁appoint']                             | ['▁app', 'o', 'int']                     | ['▁appoint']                             | ['<E2>', '<96>', '<81>', '<C7>', '<A5>', 'p', 'p', 'o', 'int'] | ['<E2>', '<96>', '<81>', '<C6>', '<80>', 'p', 'p', 'o', 'int'] |
| arc             | ['▁a', 'rc']                             | ['▁ar', 'c']                             | ['▁ar', 'c']                             | ['▁ǥr', 'c']                             | ['<E2>', '<96>', '<81>', '<C6>', '<80>', 'r', 'c'] |
| as              | ['▁a', 's']                              | ['▁a', 's']                              | ['▁as']                                  | ['<E2>', '<96>', '<81>', '<C7>', '<A5>', 's'] | ['<E2>', '<96>', '<81>', '<C6>', '<80>', 's'] |
| billion         | ['▁bill', 'ion']                         | ['▁bill', 'ion']                         | ['▁bill', 'ion']                         | ['<E2>', '<96>', '<81>', '<C8>', '<9D>', 'ill', 'ion'] | ['<E2>', '<96>', '<81>', '<C6>', '<83>', 'ill', 'ion'] |
| bond            | ['▁bon', 'd']                            | ['▁bon', 'd']                            | ['▁b', 'on', 'd']                        | ['▁ȝon', 'd']                            | ['<E2>', '<96>', '<81>', '<C6>', '<83>', 'on', 'd'] |
| car             | ['▁car']                                 | ['▁car']                                 | ['▁car']                                 | ['▁ȡar']                                 | ['▁ƅar']                                 |
| caution         | ['▁c', 'au', 'ti', 'on']                 | ['▁c', 'a', 'ut', 'ion']                 | ['▁c', 'aut', 'ion']                     | ['<E2>', '<96>', '<81>', '<C8>', '<A1>', 'a', 'ut', 'ion'] | ['<E2>', '<96>', '<81>', '<C6>', '<85>', 'a', 'ut', 'ion'] |
| cave            | ['▁cave']                                | ['▁c', 'ave']                            | ['▁c', 'ave']                            | ['<E2>', '<96>', '<81>', '<C8>', '<A1>', 'ave'] | ['<E2>', '<96>', '<81>', '<C6>', '<85>', 'ave'] |
| chair           | ['▁chair']                               | ['▁ch', 'air']                           | ['▁ch', 'a', 'ir']                       | ['<E2>', '<96>', '<81>', '<C8>', '<A1>', 'h', 'a', 'i', 'r'] | ['<E2>', '<96>', '<81>', '<C6>', '<85>', 'h', 'a', 'i', 'r'] |
| chance          | ['▁chance']                              | ['▁ch', 'ance']                          | ['▁chance']                              | ['<E2>', '<96>', '<81>', '<C8>', '<A1>', 'h', 'ance'] | ['<E2>', '<96>', '<81>', '<C6>', '<85>', 'h', 'ance'] |
| chat            | ['▁c', 'h', 'a', 't']                    | ['▁ch', 'a', 't']                        | ['▁ch', 'at']                            | ['<E2>', '<96>', '<81>', '<C8>', '<A1>', 'h', 'a', 't'] | ['<E2>', '<96>', '<81>', '<C6>', '<85>', 'h', 'a', 't'] |
| chef            | ['▁c', 'h', 'ef']                        | ['▁chef']                                | ['▁chef']                                | ['<E2>', '<96>', '<81>', '<C8>', '<A1>', 'h', 'e', 'f'] | ['<E2>', '<96>', '<81>', '<C6>', '<85>', 'h', 'e', 'f'] |
| coin            | ['▁co', 'i', 'n']                        | ['▁co', 'in']                            | ['▁co', 'in']                            | ['<E2>', '<96>', '<81>', '<C8>', '<A1>', 'o', 'in'] | ['<E2>', '<96>', '<81>', '<C6>', '<85>', 'o', 'in'] |
| crayon          | ['▁c', 'ra', 'yo', 'n']                  | ['▁c', 'ra', 'y', 'on']                  | ['▁cra', 'y', 'on']                      | ['<E2>', '<96>', '<81>', '<C8>', '<A1>', 'ray', 'on'] | ['<E2>', '<96>', '<81>', '<C6>', '<85>', 'ray', 'on'] |
| douche          | ['▁do', 'uch', 'e']                      | ['▁d', 'ou', 'che']                      | ['▁dou', 'che']                          | ['<E2>', '<96>', '<81>', '<C8>', '<A3>', 'o', 'u', 'ch', 'e'] | ['<E2>', '<96>', '<81>', '<C6>', '<88>', 'o', 'u', 'ch', 'e'] |
| entrée          | ['▁en', 't', 'r', '<C3>', '<A9>', 'e']   | ['▁entrée']                              | ['▁ent', 'rée']                          | ['<E2>', '<96>', '<81>', '<C8>', '<A5>', 'nt', 'rée'] | ['<E2>', '<96>', '<81>', '<C6>', '<8C>', 'nt', 'rée'] |
| far             | ['▁far']                                 | ['▁f', 'a', 'r']                         | ['▁far']                                 | ['<E2>', '<96>', '<81>', '<C8>', '<B4>', 'a', 'r'] | ['▁ƍar']                                 |
| file            | ['▁file']                                | ['▁fil', 'e']                            | ['▁f', 'ile']                            | ['<E2>', '<96>', '<81>', '<C8>', '<B4>', 'ile'] | ['<E2>', '<96>', '<81>', '<C6>', '<8D>', 'ile'] |
| fort            | ['▁for', 't']                            | ['▁fort']                                | ['▁fort']                                | ['▁ȴort']                                | ['▁ƍor', 't']                            |
| four            | ['<E2>', '<96>', '<81>', 'f', 'our']     | ['▁fou', 'r']                            | ['▁four']                                | ['<E2>', '<96>', '<81>', '<C8>', '<B4>', 'our'] | ['▁ƍour']                                |
| groin           | ['▁gro', 'i', 'n']                       | ['▁gr', 'o', 'in']                       | ['▁gr', 'o', 'in']                       | ['<E2>', '<96>', '<81>', '<C8>', '<B5>', 'r', 'o', 'in'] | ['<E2>', '<96>', '<81>', '<C6>', '<92>', 'r', 'o', 'in'] |
| lime            | ['▁li', 'me']                            | ['▁lim', 'e']                            | ['▁l', 'im', 'e']                        | ['<E2>', '<96>', '<81>', '<C8>', '<BC>', 'im', 'e'] | ['<E2>', '<96>', '<81>', '<C6>', '<9E>', 'im', 'e'] |
| main            | ['▁main']                                | ['▁main']                                | ['▁main']                                | ['▁ȿain']                                | ['▁ƣain']                                |
| or              | ['▁or']                                  | ['▁or']                                  | ['▁or']                                  | ['<E2>', '<96>', '<81>', '<C9>', '<82>', 'r'] | ['<E2>', '<96>', '<81>', '<C6>', '<A8>', 'r'] |
| ours            | ['▁our', 's']                            | ['▁ou', 'rs']                            | ['▁ou', 'rs']                            | ['<E2>', '<96>', '<81>', '<C9>', '<82>', 'urs'] | ['<E2>', '<96>', '<81>', '<C6>', '<A8>', 'urs'] |
| pain            | ['▁pain']                                | ['▁', 'pa', 'in']                        | ['▁p', 'a', 'in']                        | ['<E2>', '<96>', '<81>', '<C9>', '<87>', 'ain'] | ['<E2>', '<96>', '<81>', '<C6>', '<AA>', 'ain'] |
| prune           | ['<E2>', '<96>', '<81>', 'p', 'ru', 'ne'] | ['▁', 'p', 'ru', 'ne']                   | ['▁p', 'ru', 'n', 'e']                   | ['<E2>', '<96>', '<81>', '<C9>', '<87>', 'r', 'une'] | ['<E2>', '<96>', '<81>', '<C6>', '<AA>', 'r', 'une'] |
| queue           | ['▁qu', 'e', 'u', 'e']                   | ['▁que', 'ue']                           | ['▁que', 'ue']                           | ['▁ɉue', 'ue']                           | ['<E2>', '<96>', '<81>', '<C6>', '<AB>', 'ue', 'ue'] |
